MXNET


TENSORFLOW
epoch 107, loss 0.3387, train acc 0.967, test acc 0.850
epoch 108, loss 0.3387, train acc 0.967, test acc 0.850
epoch 109, loss 0.3386, train acc 0.967, test acc 0.850
epoch 110, loss 0.3386, train acc 0.967, test acc 0.850
epoch 111, loss 0.3386, train acc 0.967, test acc 0.850
epoch 112, loss 0.3386, train acc 0.967, test acc 0.850
epoch 113, loss 0.3386, train acc 0.967, test acc 0.850
epoch 114, loss 0.3386, train acc 0.967, test acc 0.850
epoch 115, loss 0.3386, train acc 0.967, test acc 0.850
epoch 116, loss 0.3386, train acc 0.967, test acc 0.850
epoch 117, loss 0.3386, train acc 0.967, test acc 0.850
epoch 118, loss 0.3386, train acc 0.967, test acc 0.850
epoch 119, loss 0.3386, train acc 0.967, test acc 0.850
epoch 120, loss 0.3386, train acc 0.967, test acc 0.850
epoch 121, loss 0.3385, train acc 0.967, test acc 0.850
epoch 122, loss 0.3385, train acc 0.967, test acc 0.850
epoch 123, loss 0.3385, train acc 0.967, test acc 0.850
epoch 124, loss 0.3385, train acc 0.967, test acc 0.850
epoch 125, loss 0.3385, train acc 0.967, test acc 0.850
epoch 126, loss 0.3385, train acc 0.967, test acc 0.850
epoch 127, loss 0.3385, train acc 0.967, test acc 0.850
epoch 128, loss 0.3385, train acc 0.967, test acc 0.850
epoch 129, loss 0.3385, train acc 0.967, test acc 0.850
epoch 130, loss 0.3385, train acc 0.967, test acc 0.850
epoch 131, loss 0.3385, train acc 0.967, test acc 0.850
epoch 132, loss 0.3385, train acc 0.967, test acc 0.850
epoch 133, loss 0.3385, train acc 0.967, test acc 0.850
epoch 134, loss 0.3385, train acc 0.967, test acc 0.850
epoch 135, loss 0.3385, train acc 0.967, test acc 0.850
epoch 136, loss 0.3385, train acc 0.967, test acc 0.850
epoch 137, loss 0.3385, train acc 0.967, test acc 0.850
epoch 138, loss 0.3385, train acc 0.967, test acc 0.850
epoch 139, loss 0.3385, train acc 0.967, test acc 0.850
epoch 140, loss 0.3385, train acc 0.967, test acc 0.850
epoch 141, loss 0.3385, train acc 0.967, test acc 0.850
epoch 142, loss 0.3385, train acc 0.967, test acc 0.850
epoch 143, loss 0.3385, train acc 0.967, test acc 0.850
epoch 144, loss 0.3385, train acc 0.967, test acc 0.850
epoch 145, loss 0.3385, train acc 0.967, test acc 0.850
epoch 146, loss 0.3384, train acc 0.967, test acc 0.850
epoch 147, loss 0.3384, train acc 0.967, test acc 0.850
epoch 148, loss 0.3384, train acc 0.967, test acc 0.850
epoch 149, loss 0.3384, train acc 0.967, test acc 0.850
epoch 150, loss 0.3384, train acc 0.967, test acc 0.850
epoch 151, loss 0.3384, train acc 0.967, test acc 0.850
epoch 152, loss 0.3384, train acc 0.967, test acc 0.850
epoch 153, loss 0.3384, train acc 0.967, test acc 0.850
epoch 154, loss 0.3384, train acc 0.967, test acc 0.850
epoch 155, loss 0.3384, train acc 0.967, test acc 0.850
epoch 156, loss 0.3384, train acc 0.967, test acc 0.850
epoch 157, loss 0.3384, train acc 0.967, test acc 0.850
epoch 158, loss 0.3384, train acc 0.967, test acc 0.850
epoch 159, loss 0.3384, train acc 0.967, test acc 0.850
epoch 160, loss 0.3384, train acc 0.967, test acc 0.850
epoch 161, loss 0.3384, train acc 0.967, test acc 0.850
epoch 162, loss 0.3384, train acc 0.967, test acc 0.850
epoch 163, loss 0.3384, train acc 0.967, test acc 0.850
epoch 164, loss 0.3384, train acc 0.967, test acc 0.850
epoch 165, loss 0.3384, train acc 0.967, test acc 0.850
epoch 166, loss 0.3384, train acc 0.967, test acc 0.850
epoch 167, loss 0.3384, train acc 0.967, test acc 0.850
epoch 168, loss 0.3384, train acc 0.967, test acc 0.850
epoch 169, loss 0.3384, train acc 0.967, test acc 0.850
epoch 170, loss 0.3384, train acc 0.967, test acc 0.850
epoch 171, loss 0.3384, train acc 0.967, test acc 0.850
epoch 172, loss 0.3384, train acc 0.967, test acc 0.850
epoch 173, loss 0.3384, train acc 0.967, test acc 0.850
epoch 174, loss 0.3384, train acc 0.967, test acc 0.850
epoch 175, loss 0.3384, train acc 0.967, test acc 0.850
epoch 176, loss 0.3384, train acc 0.967, test acc 0.850
epoch 177, loss 0.3384, train acc 0.967, test acc 0.850
epoch 178, loss 0.3384, train acc 0.967, test acc 0.850
epoch 179, loss 0.3384, train acc 0.967, test acc 0.850
epoch 180, loss 0.3384, train acc 0.967, test acc 0.850
epoch 181, loss 0.3384, train acc 0.967, test acc 0.850
epoch 182, loss 0.3384, train acc 0.967, test acc 0.850
epoch 183, loss 0.3384, train acc 0.967, test acc 0.850
epoch 184, loss 0.3384, train acc 0.967, test acc 0.850
epoch 185, loss 0.3384, train acc 0.967, test acc 0.850
epoch 186, loss 0.3384, train acc 0.967, test acc 0.850
epoch 187, loss 0.3384, train acc 0.967, test acc 0.850
epoch 188, loss 0.3384, train acc 0.967, test acc 0.850
epoch 189, loss 0.3384, train acc 0.967, test acc 0.850
epoch 190, loss 0.3384, train acc 0.967, test acc 0.850
epoch 191, loss 0.3384, train acc 0.967, test acc 0.850
epoch 192, loss 0.3384, train acc 0.967, test acc 0.850
epoch 193, loss 0.3384, train acc 0.967, test acc 0.850
