p,train_loss,train_acc,test_acc,frac
0.001,1.766716622542031,0.6361148230215152,0.09579399983274836,0.4510595358224016
0.001,1.7947618585262142,0.6003098635947548,0.08397296399141503,0.5040404040404041
0.001,1.8371258971054842,0.552065946869277,0.08525630315931608,0.5080645161290323
0.001,1.7912734782131878,0.607936771994021,0.09233765204983223,0.4790602655771195
0.001,1.7183847608015306,0.6945926449175699,0.14469110241202487,0.46006066734074824
0.001,1.7822274920866328,0.6123319094478774,0.1396097278402231,0.5331991951710262
0.001,1.8453329042854953,0.5387054719992829,0.11811974658355925,0.5549949545913219
0.001,1.8528794792285583,0.5297332680743023,0.0888298016867848,0.5272177419354839
0.001,1.77660624502709,0.6258653243882515,0.0897343193521516,0.4730964467005076
0.001,1.7874196415987917,0.6129869918692189,0.12362193509798565,0.4527918781725888
0.001,1.8255057687285023,0.5667022415311481,0.1143624657957735,0.5866261398176292
0.001,1.828251147810946,0.5551385383012376,0.09467075624406243,0.5288169868554095
0.001,1.8281078719444372,0.5619010071565851,0.14926096453049728,0.5819672131147541
0.001,1.7764649943956734,0.6237206666950736,0.06493679286716829,0.44263959390862945
0.001,1.8327549491163935,0.5586021392141826,0.11262143450725787,0.5096446700507614
0.001,1.8094665265661605,0.5903028939690298,0.0947651781732237,0.4259634888438134
0.001,1.682492640042809,0.736979660265467,0.13413565690262083,0.40183112919633773
0.001,1.803559483657904,0.5898854333177834,0.1145331982702746,0.5325865580448065
0.001,1.8138144524464994,0.5798519906959857,0.08914572738460205,0.5208545269582909
0.001,1.7835813319545095,0.6124464033248567,0.16051069349480165,0.5514112903225806
0.001,1.8593196548572926,0.5260236518278971,0.09821254459964375,0.5859613428280773
0.001,1.774469867447251,0.6285239449289733,0.06474039283428368,0.4432048681541582
0.001,1.7694430779392447,0.6319994607295891,0.11459093306455365,0.48597194388777554
0.001,1.7911733060044326,0.6034937908262802,0.1295497906871508,0.4974463738508682
0.001,1.7785181312145528,0.6186686508138763,0.13579481907345325,0.5551061678463094
0.001,1.7633645783716148,0.6420993010742742,0.18413661588013178,0.4801627670396745
0.001,1.7748207955556339,0.6273223612185843,0.1235781113837147,0.5005065856129686
0.001,1.7945230070816058,0.6046175037186898,0.13975284461753446,0.5487804878048781
0.001,1.789423685117254,0.6088860765192493,0.1594615127346118,0.5264227642276422
0.001,1.7480604096571988,0.6568644318123515,0.07985435013014767,0.42105263157894735
0.001,1.775238373125981,0.6226930364166516,0.1364404467110253,0.527013251783894
0.001,1.7613488561428567,0.6431801632267486,0.08631156997126911,0.44275582573454914
0.001,1.7411489682638002,0.6664467788172532,0.07678988067119823,0.36482412060301506
0.001,1.8471018774340515,0.5367668150776165,0.07998943252744858,0.5253036437246964
0.001,1.8109185554050646,0.5865147220361507,0.13006632637745458,0.5482233502538071
0.001,1.791039226210253,0.6070196612711821,0.13344971785140186,0.4539939332659252
0.001,1.71643480906758,0.6963835338385895,0.15848891719647795,0.4808467741935484
0.001,1.7786461421075832,0.6236872939912269,0.11949329942426853,0.4390735146022155
0.001,1.7987779379853837,0.5992463581363793,0.16986221268990537,0.5891946992864424
0.001,1.846122266495156,0.5368273948519775,0.068903229686387,0.4439959636730575
0.001,1.752376398222453,0.6510806863030894,0.08920195120590729,0.4614604462474645
0.001,1.7940593057465322,0.6028440037347131,0.16944345046484086,0.5498489425981873
